dataset,ablation,config,attack,f1
sms,attack_mix,obfuscate_only,clean,0.9907
sms,attack_mix,obfuscate_only,obfuscate,0.9814
sms,attack_mix,obfuscate_only,prompt_injection,0.8593
sms,attack_mix,prompt_inj_only,clean,0.9907
sms,attack_mix,prompt_inj_only,obfuscate,0.9811
sms,attack_mix,prompt_inj_only,prompt_injection,0.5747
sms,attack_mix,balanced,clean,0.9907
sms,attack_mix,balanced,obfuscate,0.9859
sms,attack_mix,balanced,prompt_injection,0.6565
sms,attack_mix,weighted_obf,clean,0.9907
sms,attack_mix,weighted_obf,obfuscate,0.9814
sms,attack_mix,weighted_obf,prompt_injection,0.7087
sms,attack_mix,weighted_pi,clean,0.9907
sms,attack_mix,weighted_pi,obfuscate,0.9811
sms,attack_mix,weighted_pi,prompt_injection,0.601
sms,aug_ratio,0%,clean,0.9859
sms,aug_ratio,0%,obfuscate,0.9811
sms,aug_ratio,0%,prompt_injection,0.8623
sms,aug_ratio,10%,clean,0.9907
sms,aug_ratio,10%,obfuscate,0.9859
sms,aug_ratio,10%,prompt_injection,0.6774
sms,aug_ratio,30%,clean,0.9907
sms,aug_ratio,30%,obfuscate,0.9859
sms,aug_ratio,30%,prompt_injection,0.7282
sms,aug_ratio,50%,clean,0.9907
sms,aug_ratio,50%,obfuscate,0.9766
sms,aug_ratio,50%,prompt_injection,0.7363
sms,aug_ratio,70%,clean,0.9907
sms,aug_ratio,70%,obfuscate,0.9814
sms,aug_ratio,70%,prompt_injection,0.7323
