scenario,model,training,attack,optimal_threshold,f1_default,f1_calibrated,f1_gain,precision_default,precision_calibrated,recall_default,recall_calibrated
sms→spamassassin,tfidf_word_lr,clean,clean,0.48778325863792005,0.08917197452229299,0.12422360248447205,0.03505162796217906,0.5384615384615384,0.5882352941176471,0.04861111111111111,0.06944444444444445
sms→spamassassin,tfidf_word_lr,clean,obfuscate,0.1309968734349352,0.06493506493506493,0.4983388704318937,0.4334038054968288,0.5,0.47770700636942676,0.034722222222222224,0.5208333333333334
sms→spamassassin,tfidf_word_lr,eat,clean,0.6767071257771429,0.2430939226519337,0.02666666666666667,-0.21642725598526702,0.5945945945945946,0.3333333333333333,0.1527777777777778,0.013888888888888888
sms→spamassassin,tfidf_word_lr,eat,obfuscate,0.5436214130823747,0.25274725274725274,0.14285714285714285,-0.10989010989010989,0.6052631578947368,0.5,0.1597222222222222,0.08333333333333333
sms→spamassassin,tfidf_char_svm,clean,clean,0.5692527922205554,0.4496124031007752,0.27722772277227725,-0.17238468032849796,0.5087719298245614,0.4827586206896552,0.4027777777777778,0.19444444444444445
sms→spamassassin,tfidf_char_svm,clean,obfuscate,0.5332324878699183,0.4274193548387097,0.3225806451612903,-0.10483870967741937,0.5096153846153846,0.4794520547945205,0.3680555555555556,0.24305555555555555
sms→spamassassin,tfidf_char_svm,eat,clean,0.5127446556092979,0.4274193548387097,0.4050632911392405,-0.022356063699469186,0.5096153846153846,0.5161290322580645,0.3680555555555556,0.3333333333333333
sms→spamassassin,tfidf_char_svm,eat,obfuscate,0.5715383573384845,0.488135593220339,0.37168141592920356,-0.11645417729113544,0.4768211920529801,0.5121951219512195,0.5,0.2916666666666667
spamassassin→sms,tfidf_word_lr,clean,clean,0.49849598487484786,0.3041825095057034,0.29927007299270075,-0.00491243651300266,0.19900497512437812,0.19339622641509435,0.6451612903225806,0.6612903225806451
spamassassin→sms,tfidf_word_lr,clean,obfuscate,0.5062249340563992,0.26337448559670784,0.27488151658767773,0.011507030990969891,0.17679558011049723,0.19463087248322147,0.5161290322580645,0.46774193548387094
spamassassin→sms,tfidf_word_lr,eat,clean,0.7221465620281159,0.21565217391304348,0.22435897435897437,0.00870680044593089,0.12085769980506822,0.14,1.0,0.5645161290322581
spamassassin→sms,tfidf_word_lr,eat,obfuscate,0.7721680148984519,0.21565217391304348,0.24242424242424243,0.026772068511198954,0.12085769980506822,0.15319148936170213,1.0,0.5806451612903226
spamassassin→sms,tfidf_char_svm,clean,clean,0.4994058340020095,0.24203821656050956,0.24126984126984127,-0.0007683752906682828,0.15079365079365079,0.15019762845849802,0.6129032258064516,0.6129032258064516
spamassassin→sms,tfidf_char_svm,clean,obfuscate,0.4796442495671326,0.2364217252396166,0.2344139650872818,-0.0020077601523348088,0.14741035856573706,0.13864306784660768,0.5967741935483871,0.7580645161290323
spamassassin→sms,tfidf_char_svm,eat,clean,0.5249631814976906,0.22179732313575526,0.22417582417582418,0.0023785010400689255,0.12581344902386118,0.1297709923664122,0.9354838709677419,0.8225806451612904
spamassassin→sms,tfidf_char_svm,eat,obfuscate,0.5818182882122257,0.21352313167259787,0.23306233062330622,0.019539198950708353,0.12,0.14006514657980457,0.967741935483871,0.6935483870967742
