dataset,category,error_type,text_length
sms,false_negative_other,FN,78
sms,short_text,FN,13
sms,url_obfuscation,FN,155
telegram,false_negative_other,FN,145
telegram,false_positive_other,FP,512
telegram,false_negative_other,FN,43
telegram,false_positive_other,FP,21
telegram,false_negative_other,FN,195
telegram,false_positive_other,FP,100
telegram,long_subtle_spam,FN,597
telegram,false_positive_other,FP,784
telegram,short_text,FP,15
telegram,long_subtle_spam,FN,219
telegram,false_negative_other,FN,51
telegram,false_positive_other,FP,42
telegram,false_positive_other,FP,289
telegram,false_positive_other,FP,36
telegram,false_negative_other,FN,138
telegram,false_negative_other,FN,76
telegram,false_positive_other,FP,46
telegram,long_subtle_spam,FN,223
telegram,short_text,FP,9
telegram,false_positive_other,FP,150
telegram,false_negative_other,FN,71
telegram,false_positive_other,FP,101
telegram,long_subtle_spam,FN,273
telegram,false_positive_other,FP,39
telegram,false_positive_other,FP,40
telegram,template_marketing,FN,222
telegram,false_positive_other,FP,100
telegram,false_positive_other,FP,37
telegram,false_positive_other,FP,356
telegram,false_positive_other,FP,30
telegram,ambiguous_business,FP,133
telegram,currency_symbols,FP,357
telegram,short_text,FP,16
telegram,short_text,FN,16
telegram,char_substitution,FN,257
telegram,char_substitution,FN,98
telegram,template_marketing,FP,656
telegram,long_subtle_spam,FN,223
telegram,char_substitution,FN,118
telegram,char_substitution,FP,263
telegram,false_negative_other,FN,57
telegram,false_positive_other,FP,34
telegram,char_substitution,FN,244
telegram,false_negative_other,FN,148
telegram,long_subtle_spam,FN,404
telegram,char_substitution,FN,113
telegram,short_text,FP,12
telegram,template_marketing,FN,76
telegram,false_positive_other,FP,276
telegram,false_negative_other,FN,74
